pH 2.17,pH 5.75,pH 7.73,pH 10.36,pH 13.15
2.168,5.7481,7.7167,10.3717,13.1665
2.176,5.7433,7.7134,10.3758,13.1383
2.185,5.7312,7.7068,10.3602,13.1501
2.194,5.7346,7.7174,10.3648,13.1461
2.181,5.745,7.689,10.3454,13.137
2.178,5.7524,7.7121,10.3506,13.15
2.183,5.7389,7.704,10.3462,13.1768
2.171,5.7404,7.7096,10.3681,13.1351
2.168,5.7527,7.7103,10.3589,13.1716
2.168,5.7439,7.7056,10.3721,13.1237
2.178,5.7317,7.7101,10.3512,13.1482
2.182,5.7408,7.7151,10.3689,13.145
2.184,5.7518,7.7163,10.36,13.1534
2.176,5.7346,7.7133,10.3569,13.1591
2.177,5.7495,7.7163,10.3602,13.1328
2.179,5.7393,7.6985,10.3616,13.2002
2.186,5.7502,7.7073,10.3691,13.1571
2.172,5.7368,7.7145,10.3649,13.1367
2.174,5.7421,7.7096,10.3764,13.1402
2.169,5.741,7.7154,10.3589,13.1329
2.183,5.7402,7.7116,10.366,13.1625
2.173,5.7381,7.7272,10.3566,13.1676
2.179,5.7529,7.7147,10.362,13.143
2.186,5.7553,7.7361,10.3675,13.148
2.173,5.7533,7.7071,10.357,13.1299
2.189,5.7457,7.7226,10.3656,13.1507
2.168,5.7495,7.705,10.3787,13.1492
2.177,5.7596,7.6968,10.3536,13.1148
2.183,5.741,7.7113,10.3717,13.153
2.173,5.7409,7.7053,10.368,13.154
2.187,5.7583,7.7249,10.3504,13.1655
2.168,5.7361,7.72,10.361,13.1191
2.182,5.7561,7.7217,10.3651,13.1488
2.172,5.7488,7.7118,10.3616,13.1357
2.171,5.7389,7.7161,10.3633,13.1369
2.178,5.7551,7.7051,10.3767,13.1601
2.187,5.7453,7.7058,10.3557,13.1407
2.181,5.7549,7.713,10.3593,13.1616
2.181,5.7447,7.7226,10.3745,13.1384
2.185,5.7442,7.7203,10.3597,13.1326
2.181,5.7366,7.7075,10.3597,13.1413
2.18,5.7411,7.6925,10.3699,13.1432
2.193,5.7422,7.7008,10.3803,13.1588
2.177,5.7299,7.7221,10.3681,13.1565
2.178,5.736,7.7256,10.3649,13.153
2.175,5.7514,7.7265,10.3664,13.1463
2.2,5.7474,7.6988,10.3566,13.1579
2.163,5.7422,7.7186,10.3541,13.143
2.184,5.7563,7.7256,10.3539,13.1413
2.18,5.7492,7.7153,10.3496,13.1623
2.182,5.7393,7.7205,10.3618,13.1689
2.173,5.7458,7.7146,10.3681,13.1498
2.172,5.7492,7.7156,10.3755,13.1543
2.164,5.7386,7.7148,10.3603,13.1384
2.174,5.7605,7.717,10.3656,13.1274
2.172,5.7541,7.7271,10.3461,13.1413
2.174,5.7542,7.7092,10.3466,13.1418
2.17,5.7428,7.7148,10.3661,13.1411
2.178,5.7526,7.712,10.3719,13.1638
2.174,5.7584,7.7074,10.3613,13.1714
2.168,5.7339,7.7226,10.3713,13.162
2.182,5.7538,7.6994,10.3783,13.1483
2.175,5.7432,7.7079,10.3508,13.142
2.184,5.7488,7.7117,10.3606,13.1492
2.184,5.7479,7.7119,10.3599,13.1359
2.18,5.761,7.7155,10.3693,13.1324
2.181,5.733,7.7092,10.3726,13.1531
2.175,5.7317,7.7201,10.3534,13.1407
2.175,5.7463,7.721,10.3667,13.1391
2.187,5.7274,7.7135,10.375,13.1481
2.184,5.7436,7.7264,10.3716,13.1573
2.183,5.7398,7.7101,10.3657,13.1374
2.183,5.7446,7.7057,10.3799,13.1573
2.177,5.7478,7.723,10.3788,13.1659
2.174,5.753,7.7124,10.3579,13.1611
